id,专利类型,案件受理年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
2709,3,2015,0,0,0,0,1,3,3,4,4,0,1-10万
2710,3,2015,0,0,0,1,1,6,5,4,5,0,20-50万
2711,3,2015,0,0,0,0,1,2,5,4,5,0,10-20万
2712,3,2015,0,0,0,0,1,2,5,4,5,0,10-20万
2713,3,2015,0,0,0,1,1,4,0,4,5,0,1-10万
2714,3,2015,0,0,1,1,1,3,2,3,5,0,1-10万
2715,3,2015,0,0,1,0,1,4,2,3,5,1,0万
2716,3,2015,0,0,1,0,1,5,2,3,5,0,0-1万
2717,3,2016,0,0,1,1,1,6,4,3,4,0,1-10万
2718,3,2015,0,0,1,0,1,3,2,3,5,0,1-10万
2719,3,2017,0,0,1,1,1,6,3,3,5,0,1-10万
2720,3,2015,0,0,1,1,0,1,2,3,5,0,0-1万
2721,3,2015,0,0,1,1,0,3,2,3,4,0,0-1万
2722,3,2015,0,0,1,0,1,5,3,3,4,0,1-10万
2723,3,2015,0,0,1,0,0,2,2,3,5,0,0-1万
2724,3,2015,0,0,1,0,0,1,2,3,3,0,0-1万
2725,3,2015,0,0,1,1,0,3,0,3,4,0,0-1万
2726,3,2017,0,0,1,0,1,5,3,3,4,0,1-10万
2727,3,2017,0,0,1,1,1,6,2,3,4,0,1-10万
2728,3,2016,0,0,1,1,1,6,3,3,4,0,1-10万
2729,3,2017,0,0,1,1,1,3,3,3,5,0,0-1万
2730,3,2015,0,0,0,0,0,1,2,3,5,0,0-1万
2731,3,2015,0,0,0,0,1,6,2,4,5,0,1-10万
2732,3,2016,0,0,1,0,1,2,0,3,5,0,1-10万
2733,3,2017,0,0,1,1,1,3,0,1,5,0,1-10万
2734,3,2015,0,0,1,0,1,2,0,1,4,1,0万
2735,3,2019,0,0,0,0,0,1,0,1,4,1,0万
2736,3,2018,0,0,0,0,0,1,0,1,4,0,0-1万
2737,3,2018,0,0,0,0,0,1,0,1,3,0,0-1万
2738,3,2018,0,0,0,0,0,1,0,1,3,0,0-1万
2739,3,2018,0,0,0,0,0,1,0,1,3,0,0-1万
2740,3,2018,0,0,0,0,0,1,0,1,3,0,0-1万
2741,3,2018,0,0,0,0,0,1,0,1,4,0,0-1万
2742,3,2018,0,0,0,0,0,1,0,1,3,0,0-1万
2743,3,2018,0,0,0,0,0,1,0,1,3,0,0-1万
2744,3,2018,0,0,0,0,0,1,0,1,3,0,0-1万
2745,3,2018,0,0,0,0,0,1,0,1,4,0,0-1万
2746,3,2018,0,0,0,0,0,1,0,1,3,0,0-1万
2747,3,2018,0,0,0,0,0,1,0,1,4,0,0-1万
2748,3,2018,0,0,0,0,0,1,1,1,4,1,0万
2749,3,2018,0,0,0,0,0,1,1,1,3,1,0万
2750,3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
2751,3,2018,0,0,0,0,0,1,1,1,4,1,0万
2752,3,2018,0,0,0,0,0,1,1,1,3,1,0万
2753,3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
2754,3,2018,0,0,0,0,0,1,1,1,3,1,0万
2755,3,2018,0,0,0,0,0,1,1,1,3,1,0万
2756,3,2018,0,0,0,0,0,1,1,1,3,1,0万
2757,3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
2758,3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
2759,3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
2760,3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
2761,3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
2762,3,2018,0,0,0,0,0,1,1,1,3,1,0万
2763,3,2018,0,0,0,0,0,1,1,1,3,1,0万
2764,3,2018,0,0,0,0,0,1,1,1,3,1,0万
2765,3,2018,0,0,0,0,0,1,1,1,3,1,0万
